puzzle,solution
300400050100000060000800370060002007000000200090300000801060003047050800036004719,372416958189735462654829371468592137713648295295371684821967543947153826536284719
906004070000060100380090002670000000029000000500700624000001000100006430842000706,916524873257368149384197562678432951429615387531789624763841295195276438842953716
400010000000000000061092000100060053020037800390400001005040320904006105000300096,489513672253674918761892534148269753526137849397485261615948327934726185872351496
106000000000500601050000983003040050010058296000000004700036800040780060300210007,176893425839524671254671983693142758417358296582967134725436819941785362368219547
073061900056000137801370006002753600749000300360908700900026050500497261020105070,273561948456289137891374526182753694749612385365948712917826453538497261624135879
100428003203719045000300172030682410421970580080001009007000008000097000004865721,175428693263719845948356172539682417421973586786541239617234958852197364394865721
731409200400100300290003100050000007307500608608002010070308050003005701569200003,731459286486127395295683174952816437317594628648732519174368952823945761569271843
010249073042678015900300060204500100061490000750831000080000640403706590500020030,615249873342678915978315264234567189861492357759831426187953642423786591596124738
008900000009300268203008470004005316030142500005803900000050020640000000000007031,478926153159374268263518479824795316936142587715863942381659724647231895592487631
005069017000827940090000000301000470060300002000710036670050200580900061900270004,825469317136827945497531628351682479768394152249715836674158293582943761913276584
403091007070003005500087430020000570000020308000000004035072019008309002007000000,463591287872643195519287436924836571751924368386715924635472819148369752297158643
100006204040001679700040000090023100002080506001750090354200080810495020920000000,183976254245831679769542318598623147472189536631754892354267981816495723927318465
009070106000000030600005749100080970805207610470160020928730065000850290050090300,239478156547916832681325749162583974895247613473169528928731465316854297754692381
100240086920136407405879231084592700200001840350487602596018024042653079713904060,137245986928136457465879231684592713279361845351487692596718324842653179713924568
007000000149000023020310006064820090000090130000050000003176000012005060506200010,637482951149567823825319476364821597758694132291753684983176245412935768576248319
435006007007851400000307925000000038009070042060000009000100000006738090508264070,435926817927851463681347925742519638859673142163482759374195286216738594598264371
060010594010009280908006003590062710800190000600700009005207001000601840100050327,762813594413579286958426173594362718837194652621785439385247961279631845146958327
604873092057900401800500007048017905063405208570628100920706304401230706000154029,614873592357962481892541637248317965163495278579628143925786314481239756736154829
814006000027080900500002604700000032900320801102700569009817200060000150000064300,814956723627483915593172684785691432946325871132748569359817246468239157271564398
165702839802136000043008020027400900531029047004000203076251000000000061318900070,165742839892136754743598126627413985531829647984675213476251398259387461318964572
090407200010526090207890305004000000000200600106089000370008051000375000000140730,598437216413526897267891345724653189985214673136789524372968451841375962659142738
300700068000200003046030192009002040275091000830607000520060830008170005163500004,352719468981246753746835192619382547275491386834657219527964831498173625163528974
700050281005260400002003005800972000000006170670000020410000002390700004500030697,763459281185267439942813765831972546259346178674581923417698352396725814528134697
200037050500012000709506400053000007400000001890003500627095008315004279984720060,241937856568412793739586412153249687472658931896173524627395148315864279984721365
015098007000003500430100809200409010840000000000026000384600090060900080009002040,615298437928743561437165829253479618846531972791826354384617295162954783579382146
040702050370000004600010700400873510080000040007051000596000000813097405004300100,948732651371586924652914738469873512185629347237451896596148273813297465724365189
700014905050268001106579008010793000070605009095840300500000742000952010061400090,728314965953268471146579238812793654374625189695841327589136742437952816261487593
